postal_cd,service_provider_2015,service_provider_2016
TX,AirCanopy,Rhino Communications
ID,CTC,EarthLink
NH,G4 Communications,"SegTEL, Inc."
FL,"GTC, Inc.",Fairpoint
OK,Mid-America Tele,TDS Telecom
OK,OK Comm Systems,TDS Telecom
WI,Spectrum Charter Business,Charter
KS,Sunflower,Fairpoint
TX,Tim Ron Enterprises,Network Communications
CO,TW Telecom Holdings,Level 3
AR,TCA Communications,Suddenlink
CT,Connecticut Education Network,Connecticut Education Network
IA,Heart of Iowa,Heart of Iowa Communications Cooperative
ID,Direct Comm,"Direct Communications Cable, LLC"
ID,"ENA Services, LLC",Ed Net of America
IL,Frontier,"Frontier Communications Online and Long Distance, Inc."
IL,L.R. Communications,LR Communications
IL,Mediacom,MCC Telephony
IN,TW Telecom Holdings,Level 3
KS,"Nex-Tech, Inc.",Rural Tele Serv
KS,S&T Comm,S&T Tele Coop
KS,SC Tele Asso,SC Wireless
KS,"SKT, Inc.",Southern Kansas
LA,Hunt Brothers,Hunt Telecomm
LA,Hunt Telecomm,Hunt Brothers
MO,Kingdom Telephone,Kingdom Tele
MT,Cablevision,Charter
MT,Central Montana Comm,Triangle Tele
MT,Mountain Digital,MtnMax
MT,"Charter Advanced Services (MT), LLC",Charter
MT,NEMONT COMM,"NEMONT TELEPHONE COOPERATIVE, INC."
MT,One Eighty Comm,Integra Telecom
NE,Unite Private Networks,Unite Private
NH,G4 Communications,"SegTEL, Inc."
NH,Sovernet Comm,"Sovernet, Inc."
NM,ENMR Tele Coop,Plateau Telecomm
OK,OK Comm Systems,TDS Telecom
OK,Panhandle Telecomm,Panhandle Tele Coop
OR,County of Clackamas,County Owned
TX,Peoples Tele Coop,Peoples Comm
TX,PHONOSCOPE LIGHT,Phonoscope Ent
MT,One Eighty Comm,Integra Telecom
WI,Spectrum Charter Business,Charter
KS,Sunflower,Fairpoint
TX,Tim Ron Enterprises,Network Communications
IN,TW Telecom Holdings,Level 3
TX,TW Telecom Holdings,Level 3
IL,Illinois Century,AT&T
MO,CenturyLink,Missouri Network
OH,SC OH Comp,Metropolitan Ed
PA,"Sunesys, LLC",DQE Comm
SD,South Dakota Network,Midcontinent
TX,AT&T,Region 5 Education Service Center