"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly"
"5","Fiber","Fiber","Fiber","2717922-1",TRUE
"12","Fiber","Fiber","Fiber","2718083-1",TRUE
"15","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2718105-1",TRUE
"17","Fiber","Fiber","Fiber","2718134-1",TRUE
"32","Other / Uncategorized","Other / Uncategorized","Fiber","2718376-2",TRUE
"40","Fiber","Fiber","Fiber","2718490-1",TRUE
"44","Cable / DSL","Cable / DSL","Other / Uncategorized","2718522-1",TRUE
"47","Fiber","Fiber","Other / Uncategorized","2718551-3",TRUE
"48","Other / Uncategorized","Fiber","Other / Uncategorized","2718551-4",FALSE
"49","Fiber","Fiber","Other / Uncategorized","2718551-6",TRUE
"53","Cable / DSL","Cable / DSL","Other / Uncategorized","2718647-1",TRUE
"63","Fiber","Fiber","Fiber","2718841-1",TRUE
"65","Fiber","Fiber","Fiber","2718854-1",TRUE
"71","Fiber","Fiber","Other / Uncategorized","2718999-2",TRUE
"75","Copper","Copper","Copper","2719186-1",TRUE
"79","Fiber","Fiber","Fiber","2719315-1",TRUE
"82","Cable / DSL","Cable / DSL","Cable / DSL","2719393-1",TRUE
"115","Fiber","Fiber","Fiber","2719781-1",TRUE
"118","Fiber","Fiber","Fiber","2719937-1",TRUE
"120","Fiber","Fiber","Fiber","2719968-2",TRUE
"128","Fiber","Fiber","Fiber","2720118-1",TRUE
"140","Fiber","Fiber","Fiber","2720402-1",TRUE
"142","Fiber","Fiber","Fiber","2720477-1",TRUE
"143","Fiber","Fiber","Fiber","2720478-1",TRUE
"152","Fiber","Fiber","Fiber","2720630-1",TRUE
"155","Fiber","Fiber","Fiber","2720724-1",TRUE
"163","Fiber","Fiber","Fiber","2720799-1",TRUE
"167","Copper","Copper","Other / Uncategorized","2720917-2",TRUE
"170","Cable / DSL","Cable / DSL","Other / Uncategorized","2720968-1",TRUE
"180","Fiber","Fiber","Fiber","2721095-1",TRUE
"183","Fiber","Fiber","Fiber","2721158-1",TRUE
"189","Fiber","Fiber","Fiber","2721232-1",TRUE
"195","Fiber","Fiber","Fiber","2721388-1",TRUE
"196","Fiber","Fiber","Fiber","2721414-1",TRUE
"202","Other / Uncategorized","Other / Uncategorized","Fiber","2721582-1",TRUE
"211","Cable / DSL","Cable / DSL","Other / Uncategorized","2721635-1",TRUE
"214","Fiber","Fiber","Fiber","2721657-1",TRUE
"220","Fiber","Fiber","Other / Uncategorized","2721742-1",TRUE
"225","Copper","Copper","Copper","2721837-1",TRUE
"227","Fiber","Fiber","Fiber","2721874-1",TRUE
"229","Cable / DSL","Cable / DSL","Other / Uncategorized","2721880-1",TRUE
"234","Fiber","Fiber","Fiber","2721911-2",TRUE
"236","Fiber","Fiber","Fiber","2721931-1",TRUE
"246","Fiber","Fiber","Fiber","2722157-1",TRUE
"248","Fiber","Fiber","Other / Uncategorized","2722172-1",TRUE
"250","Fiber","Fiber","Other / Uncategorized","2722270-1",TRUE
"252","Fiber","Fiber","Cable / DSL","2722283-1",TRUE
"255","Fiber","Fiber","Other / Uncategorized","2722342-1",TRUE
"259","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2722400-1",TRUE
"267","Fiber","Fiber","Fiber","2722474-1",TRUE
"271","Fiber","Fiber","Fiber","2722538-1",TRUE
"273","Fiber","Fiber","Fiber","2722573-1",TRUE
"275","Fiber","Fiber","Fiber","2722589-1",TRUE
"284","Fiber","Fiber","Fiber","2722669-1",TRUE
"304","Fiber","Fiber","Cable / DSL","2722856-1",TRUE
"307","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2722877-1",TRUE
"324","Cable / DSL","Cable / DSL","Fiber","2723062-1",TRUE
"343","Fiber","Fiber","Other / Uncategorized","2723299-1",TRUE
"344","Fiber","Fiber","Fiber","2723299-2",TRUE
"350","Fiber","Fiber","Other / Uncategorized","2723340-1",TRUE
"351","Fiber","Fiber","Other / Uncategorized","2723342-1",TRUE
"377","Fiber","Fiber","Other / Uncategorized","2723561-1",TRUE
"378","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2723573-1",TRUE
"382","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2723636-1",TRUE
"388","Fiber","Fiber","Fiber","2723677-1",TRUE
"421","Cable / DSL","Cable / DSL","Cable / DSL","2724144-1",TRUE
"428","Fiber","Fiber","Fiber","2724157-6",TRUE
"431","Fixed Wireless","Fixed Wireless","Fixed Wireless","2724183-2",TRUE
"436","Cable / DSL","Cable / DSL","Other / Uncategorized","2724207-1",TRUE
"440","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2724272-1",TRUE
"441","Fiber","Fiber","Cable / DSL","2724276-1",TRUE
"443","Fiber","Fiber","Fiber","2724320-1",TRUE
"450","Fiber","Fiber","Fiber","2724450-1",TRUE
"471","Fiber","Fiber","Cable / DSL","2724926-1",TRUE
"477","Fiber","Fiber","Other / Uncategorized","2724956-1",TRUE
"487","Fiber","Fiber","Fiber","2725061-1",TRUE
"496","Copper","Copper","Copper","2725248-1",TRUE
"498","Fiber","Fiber","Fiber","2725276-1",TRUE
"501","Fixed Wireless","Fixed Wireless","Fixed Wireless","2725299-1",TRUE
"510","Cable / DSL","Cable / DSL","Cable / DSL","2725439-1",TRUE
"529","Cable / DSL","Cable / DSL","Cable / DSL","2725704-1",TRUE
"536","Fixed Wireless","Fixed Wireless","Fixed Wireless","2725773-1",TRUE
"542","Fiber","Fiber","Fiber","2725873-1",TRUE
"551","Cable / DSL","Cable / DSL","Cable / DSL","2725983-1",TRUE
"553","Fiber","Fiber","Fiber","2726020-1",TRUE
"555","Cable / DSL","Cable / DSL","Cable / DSL","2726035-1",TRUE
"557","Fiber","Fiber","Other / Uncategorized","2726053-1",TRUE
"559","Fiber","Fiber","Fiber","2726094-1",TRUE
"561","Fiber","Fiber","Fiber","2726094-3",TRUE
"564","Fiber","Fiber","Other / Uncategorized","2726126-1",TRUE
"565","Fiber","Fiber","Fiber","2726137-1",TRUE
"574","Fiber","Fiber","Fiber","2726275-1",TRUE
"579","Fiber","Fiber","Other / Uncategorized","2726376-3",TRUE
"583","Fiber","Fiber","Fiber","2726376-7",TRUE
"588","Fixed Wireless","Fixed Wireless","Fixed Wireless","2726535-1",TRUE
"589","Fiber","Fiber","Fiber","2726539-1",TRUE
"592","Fiber","Fiber","Fiber","2726576-1",TRUE
"599","Fiber","Fiber","Other / Uncategorized","2726655-2",TRUE
"603","Cable / DSL","Cable / DSL","Cable / DSL","2726717-1",TRUE
"614","Cable / DSL","Cable / DSL","Other / Uncategorized","2726811-1",TRUE
"622","Fiber","Fiber","Fiber","2726874-1",TRUE
"637","Other / Uncategorized","Other / Uncategorized","Fiber","2727096-1",TRUE
"644","Cable / DSL","Cable / DSL","Cable / DSL","2727333-1",TRUE
"649","Fiber","Fiber","Fiber","2727423-1",TRUE
"657","Fiber","Cable / DSL","Fiber","2727498-1",FALSE
"671","Other / Uncategorized","Other / Uncategorized","Fiber","2727759-1",TRUE
"685","Fiber","Fiber","Fiber","2728083-1",TRUE
"701","Fiber","Fiber","Other / Uncategorized","2728314-1",TRUE
"706","Fiber","Fiber","Fiber","2728436-1",TRUE
"708","Fiber","Fiber","Fiber","2728458-2",TRUE
"710","Fiber","Fiber","Fiber","2728464-1",TRUE
"718","Fiber","Fiber","Fiber","2728613-3",TRUE
"720","Fixed Wireless","Fixed Wireless","Fixed Wireless","2728618-1",TRUE
"721","Fiber","Fiber","Fiber","2728630-1",TRUE
"728","Fiber","Fiber","Fiber","2728668-1",TRUE
"735","Fiber","Fiber","Fiber","2728725-1",TRUE
"736","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2728727-1",TRUE
"737","Fiber","Fiber","Fiber","2728731-1",TRUE
"738","Fiber","Fiber","Fiber","2728735-1",TRUE
"747","Fiber","Fiber","Fiber","2728815-1",TRUE
"752","Other / Uncategorized","Other / Uncategorized","Fiber","2728964-1",TRUE
"765","Fiber","Fiber","Fiber","2729091-1",TRUE
"767","Other / Uncategorized","Other / Uncategorized","Fiber","2729101-1",TRUE
"769","Copper","Copper","Fiber","2729144-1",TRUE
"780","Fiber","Fiber","Fiber","2729324-1",TRUE
"787","Fiber","Fiber","Fiber","2729363-2",TRUE
"796","Fiber","Fiber","Fiber","2729490-1",TRUE
"806","Fiber","Fiber","Fiber","2729594-2",TRUE
"824","Fiber","Fiber","Fiber","2729829-1",TRUE
"835","Fiber","Fiber","Other / Uncategorized","2729901-1",TRUE
"836","Fiber","Fiber","Fiber","2729954-1",TRUE
"843","Fiber","Fiber","Fiber","2730048-2",TRUE
"846","Fiber","Fiber","Other / Uncategorized","2730160-1",TRUE
"852","Fiber","Fiber","Other / Uncategorized","2730203-1",TRUE
"859","Fiber","Fiber","Fiber","2730324-1",TRUE
"861","Fiber","Fiber","Fiber","2730330-1",TRUE
"869","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2730511-1",TRUE
"875","Cable / DSL","Cable / DSL","Other / Uncategorized","2730705-1",TRUE
"881","Cable / DSL","Cable / DSL","Cable / DSL","2730787-1",TRUE
"886","Fiber","Fiber","Other / Uncategorized","2730844-1",TRUE
"897","Fiber","Fiber","Fiber","2731134-1",TRUE
"900","Fixed Wireless","Fixed Wireless","Cable / DSL","2731158-1",TRUE
"904","Cable / DSL","Cable / DSL","Cable / DSL","2731297-1",TRUE
"910","Fiber","Fiber","Cable / DSL","2731593-1",TRUE
"912","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2731627-1",TRUE
"920","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2731750-1",TRUE
"923","Fiber","Fiber","Fiber","2731813-2",TRUE
"927","Fiber","Fiber","Other / Uncategorized","2731902-1",TRUE
"928","Cable / DSL","Cable / DSL","Cable / DSL","2731915-1",TRUE
"938","Fiber","Fiber","Fiber","2732133-1",TRUE
"942","Fiber","Fiber","Fiber","2732204-1",TRUE
"953","Fiber","Fiber","Other / Uncategorized","2732275-1",TRUE
"959","Fiber","Fiber","Other / Uncategorized","2732319-1",TRUE
"965","Fiber","Fiber","Fiber","2732431-1",TRUE
"967","Fiber","Fiber","Fiber","2732504-1",TRUE
"975","Fiber","Fiber","Fiber","2732578-1",TRUE
"981","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2732707-1",TRUE
"983","Copper","Copper","Copper","2732814-2",TRUE
"984","Fiber","Fiber","Other / Uncategorized","2732824-1",TRUE
"989","Fiber","Fiber","Fiber","2732960-4",TRUE
"996","Fiber","Fiber","Other / Uncategorized","2733137-1",TRUE
"1001","Copper","Copper","Copper","2733154-1",TRUE
"1006","Fiber","Fiber","Fiber","2733175-1",TRUE
"1016","Fiber","Fiber","Fiber","2733381-1",TRUE
"1019","Fiber","Fiber","Fiber","2733531-2",TRUE
"1023","Fiber","Fiber","Fiber","2733543-12",TRUE
"1027","Fiber","Fiber","Fiber","2733543-2",TRUE
"1031","Fiber","Fiber","Fiber","2733543-6",TRUE
"1039","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2733593-1",TRUE
"1040","Fiber","Fiber","Other / Uncategorized","2733602-1",TRUE
"1044","Fiber","Fiber","Other / Uncategorized","2733621-1",TRUE
"1045","Copper","Copper","Other / Uncategorized","2733653-1",TRUE
"1047","Fiber","Fiber","Other / Uncategorized","2733692-1",TRUE
"1051","Other / Uncategorized","Other / Uncategorized","Fiber","2733727-1",TRUE
"1053","Fiber","Fiber","Fiber","2733781-1",TRUE
"1054","Fiber","Fiber","Fiber","2733786-1",TRUE
"1060","Fiber","Fiber","Fiber","2733906-1",TRUE
"1082","Fiber","Fiber","Fiber","2734109-1",TRUE
"1091","Fiber","Fiber","Fiber","2734255-1",TRUE
"1093","Cable / DSL","Cable / DSL","Cable / DSL","2734264-1",TRUE
"1097","Fiber","Fiber","Fiber","2734348-2",TRUE
"1098","Fiber","Fiber","Fiber","2734395-1",TRUE
"1116","Fiber","Fiber","Other / Uncategorized","2734611-1",TRUE
"1123","Fiber","Fiber","Fiber","2734695-1",TRUE
"1132","Fiber","Fiber","Fiber","2734779-2",TRUE
"1137","Fiber","Fiber","Fiber","2734779-7",TRUE
"1139","Other / Uncategorized","Other / Uncategorized","Fiber","2734786-1",TRUE
"1145","Fiber","Cable / DSL","Fiber","2734854-1",FALSE
"1165","Fiber","Fiber","Fiber","2734971-1",TRUE
"1166","Other / Uncategorized","Other / Uncategorized","Fiber","2735003-1",TRUE
"1168","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2735025-1",TRUE
"1173","Fiber","Fiber","Fiber","2735114-3",TRUE
"1178","Fiber","Fiber","Fiber","2735135-1",TRUE
"1181","Fiber","Fiber","Fiber","2735159-1",TRUE
"1190","Fiber","Fiber","Fiber","2735354-2",TRUE
"1194","Copper","Copper","Copper","2735486-1",TRUE
"1196","Fiber","Fiber","Other / Uncategorized","2735498-2",TRUE
"1211","Fiber","Fiber","Other / Uncategorized","2735652-1",TRUE
"1221","Cable / DSL","Cable / DSL","Other / Uncategorized","2735789-1",TRUE
"1226","Fixed Wireless","Fixed Wireless","Fixed Wireless","2735846-1",TRUE
"1229","Copper","Copper","Copper","2735917-1",TRUE
"1246","Fiber","Fiber","Fiber","2736214-1",TRUE
"1270","Fiber","Fiber","Fiber","2736564-1",TRUE
"1273","Fiber","Fiber","Fiber","2736564-4",TRUE
"1275","Cable / DSL","Cable / DSL","Cable / DSL","2736585-1",TRUE
"1277","Fiber","Fiber","Other / Uncategorized","2736638-1",TRUE
"1294","Fiber","Fiber","Fiber","2736861-1",TRUE
"1320","Fiber","Fiber","Other / Uncategorized","2737310-2",TRUE
"1322","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2737326-1",TRUE
"1330","Fiber","Fiber","Fiber","2737438-1",TRUE
"1336","Fiber","Fiber","Fiber","2737549-1",TRUE
"1337","Fiber","Fiber","Fiber","2737566-1",TRUE
"1340","Fiber","Fiber","Fiber","2737604-1",TRUE
"1342","Fiber","Fiber","Fiber","2737642-1",TRUE
"1345","Fiber","Fiber","Fiber","2737786-1",TRUE
"1352","Fiber","Fiber","Fiber","2737844-1",TRUE
"1355","Fiber","Fiber","Other / Uncategorized","2737990-1",TRUE
"1356","Fiber","Fiber","Cable / DSL","2738001-1",TRUE
"1357","Fiber","Fiber","Fiber","2738094-1",TRUE
"1362","Fiber","Fiber","Cable / DSL","2738180-1",TRUE
"1365","Fiber","Fiber","Cable / DSL","2738240-1",TRUE
"1370","Fiber","Fiber","Fiber","2738301-1",TRUE
"1375","Fiber","Fiber","Fiber","2738361-1",TRUE
"1376","Cable / DSL","Cable / DSL","Other / Uncategorized","2738383-1",TRUE
"1389","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2738558-1",TRUE
"1391","Fiber","Fiber","Fiber","2738576-1",TRUE
"1396","Fiber","Fiber","Other / Uncategorized","2738696-1",TRUE
"1400","Fiber","Fiber","Fiber","2738776-1",TRUE
"1402","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2738806-1",TRUE
"1404","Cable / DSL","Cable / DSL","Cable / DSL","2738818-2",TRUE
"1405","Fiber","Fiber","Fiber","2738822-1",TRUE
"1422","Other / Uncategorized","Other / Uncategorized","Fiber","2739004-1",TRUE
"1447","Fixed Wireless","Fixed Wireless","Fixed Wireless","2739431-1",TRUE
"1455","Fiber","Fiber","Other / Uncategorized","2739591-1",TRUE
"1466","Cable / DSL","Cable / DSL","Cable / DSL","2739708-1",TRUE
"1485","Fiber","Fiber","Fiber","2739931-1",TRUE
"1498","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2740044-4",TRUE
"1516","Other / Uncategorized","Other / Uncategorized","Fiber","2740124-2",TRUE
"1521","Other / Uncategorized","Other / Uncategorized","Fiber","2740222-1",TRUE
"1524","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2740273-1",TRUE
"1530","Fiber","Fiber","Fiber","2740316-1",TRUE
"1534","Fiber","Fiber","Other / Uncategorized","2740380-1",TRUE
"1552","Fiber","Fiber","Fiber","2740601-1",TRUE
"1555","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2740732-1",TRUE
"1557","Fiber","Fiber","Fiber","2740865-1",TRUE
"1559","Fiber","Fiber","Fiber","2740875-1",TRUE
"1563","Cable / DSL","Cable / DSL","Cable / DSL","2740902-1",TRUE
"1565","Fiber","Fiber","Fiber","2740957-2",TRUE
"1566","Copper","Copper","Copper","2740957-3",TRUE
"1571","Fiber","Fiber","Other / Uncategorized","2741038-1",TRUE
"1575","Fiber","Fiber","Fiber","2741061-1",TRUE
"1576","Copper","Copper","Fiber","2741064-1",TRUE
"1577","Fiber","Fiber","Fiber","2741067-1",TRUE
"1578","Other / Uncategorized","Other / Uncategorized","Fiber","2741068-1",TRUE
"1584","Copper","Copper","Copper","2741178-1",TRUE
"1591","Fiber","Fiber","Fiber","2741245-2",TRUE
"1594","Fiber","Fiber","Fiber","2741261-2",TRUE
"1601","Fiber","Fiber","Other / Uncategorized","2741334-1",TRUE
"1603","Fiber","Fiber","Fiber","2741368-1",TRUE
"1619","Fiber","Fiber","Fiber","2741629-1",TRUE
"1627","Fiber","Fiber","Fiber","2741696-2",TRUE
"1629","Fiber","Fiber","Cable / DSL","2741707-2",TRUE
"1633","Fiber","Fiber","Fiber","2741751-1",TRUE
"1636","Fiber","Fiber","Fiber","2741780-1",TRUE
"1639","Fiber","Fiber","Fiber","2741818-1",TRUE
"1640","Fiber","Fiber","Fiber","2741822-1",TRUE
"1649","Fiber","Fiber","Fiber","2741969-1",TRUE
"1650","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2741972-1",TRUE
"1653","Fiber","Fiber","Fiber","2742010-1",TRUE
"1657","Fiber","Fiber","Fiber","2742070-1",TRUE
"1664","Cable / DSL","Cable / DSL","Cable / DSL","2742095-1",TRUE
"1667","Copper","Copper","Copper","2742131-1",TRUE
"1693","Fiber","Fiber","Other / Uncategorized","2742448-2",TRUE
"1697","Cable / DSL","Cable / DSL","Cable / DSL","2742628-1",TRUE
"1710","Fixed Wireless","Fixed Wireless","Fixed Wireless","2742750-1",TRUE
"1724","Fiber","Fiber","Fiber","2742848-3",TRUE
"1726","Fiber","Fiber","Other / Uncategorized","2742859-1",TRUE
"1742","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2743124-1",TRUE
"1752","Cable / DSL","Cable / DSL","Cable / DSL","2743164-2",TRUE
"1763","Fiber","Fiber","Other / Uncategorized","2743393-1",TRUE
"1767","Cable / DSL","Cable / DSL","1","2743499-1",TRUE
"1768","Fiber","Fiber","Fiber","2743544-1",TRUE
"1769","Fiber","Fiber","Other / Uncategorized","2743553-1",TRUE
"1771","Fiber","Fiber","Fiber","2743580-1",TRUE
"1773","Fiber","Fiber","Fiber","2743624-1",TRUE
"1774","Fiber","Fiber","Fiber","2743624-2",TRUE
"1780","Fiber","Fiber","Fiber","2743687-1",TRUE
"1787","Fiber","Fiber","Fiber","2743756-1",TRUE
"1790","Fiber","Fiber","Fiber","2743813-1",TRUE
"1799","Fiber","Fiber","Other / Uncategorized","2743959-1",TRUE
"1802","Fiber","Fiber","Fiber","2744054-1",TRUE
"1804","Fiber","Fiber","Fiber","2744054-3",TRUE
"1821","Fiber","Fiber","Other / Uncategorized","2744315-1",TRUE
"1828","Fiber","Fiber","Fiber","2744637-1",TRUE
"1829","Fiber","Fiber","Fiber","2744668-1",TRUE
"1837","Fiber","Fiber","Fiber","2744719-1",TRUE
"1839","Fiber","Fiber","Fiber","2744730-1",TRUE
"1852","Fiber","Fiber","Fiber","2744793-1",TRUE
"1859","Fiber","Fiber","Other / Uncategorized","2744835-1",TRUE
"1861","Fiber","Fiber","Other / Uncategorized","2744846-1",TRUE
"1862","Fiber","Fiber","Fiber","2744846-2",TRUE
"1883","Other / Uncategorized","Other / Uncategorized","1","2745283-1",TRUE
"1888","Fiber","Fiber","Fiber","2745496-1",TRUE
"1894","Fiber","Fiber","Fiber","2745541-1",TRUE
"1896","Fiber","Fiber","Fiber","2745573-1",TRUE
"1902","Fiber","Fiber","Fiber","2745619-1",TRUE
"1912","Fiber","Fiber","Other / Uncategorized","2745849-1",TRUE
"1914","Fiber","Fiber","Fiber","2745881-1",TRUE
"1917","Fiber","Fiber","Fiber","2745881-4",TRUE
"1931","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2746060-1",TRUE
"1932","Fiber","Fiber","Fiber","2746061-1",TRUE
"1936","Fiber","Fiber","Fiber","2746107-1",TRUE
"1938","Fiber","Fiber","Fiber","2746208-1",TRUE
"1944","Fiber","Fiber","Fiber","2746305-1",TRUE
"1945","Fiber","Fiber","Fiber","2746315-1",TRUE
"1952","Fiber","Fiber","Fiber","2746419-1",TRUE
"1966","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2746533-2",TRUE
"1972","Fiber","Fiber","Fiber","2746556-1",TRUE
"1981","Fiber","Fiber","Fiber","2746665-1",TRUE
"1983","Fiber","Fiber","Fiber","2746673-2",TRUE
"1993","Fiber","Fiber","Fiber","2746808-1",TRUE
"1999","Fiber","Fiber","Fiber","2746884-1",TRUE
"2006","Fiber","Fiber","Fiber","2746935-1",TRUE
"2008","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2746948-1",TRUE
"2009","Fiber","Fiber","Fiber","2747039-1",TRUE
"2016","Fiber","Fiber","Fiber","2747221-1",TRUE
