"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly"
"4009","Fiber","Fiber","Fiber","2776784-1",TRUE
"4010","Fiber","Fiber","Fiber","2776804-1",TRUE
"4015","Fiber","Fiber","Fiber","2776851-1",TRUE
"4022","Fiber","Fiber","Fiber","2776947-1",TRUE
"4034","Fiber","Fiber","Fiber","2777104-1",TRUE
"4036","Fiber","Fiber","Other / Uncategorized","2777105-1",TRUE
"4039","Fiber","Fiber","Other / Uncategorized","2777126-1",TRUE
"4047","Fiber","Fiber","Fiber","2777269-1",TRUE
"4049","Cable / DSL","Cable / DSL","Cable / DSL","2777271-1",TRUE
"4120","Fiber","Fiber","Fiber","2777350-1",TRUE
"4135","Fiber","Fiber","Fiber","2777369-1",TRUE
"4136","Fiber","Fiber","Fiber","2777371-1",TRUE
"4144","Fiber","Fiber","Fiber","2777547-1",TRUE
"4146","Fiber","Fiber","Fiber","2777565-1",TRUE
"4151","Fiber","Fiber","Fiber","2777610-1",TRUE
"4155","Fiber","Fiber","Fiber","2777611-4",TRUE
"4158","Fiber","Fiber","Fiber","2777620-1",TRUE
"4161","Fiber","Fiber","Fiber","2777671-1",TRUE
"4168","Fiber","Fiber","Fiber","2777726-1",TRUE
"4172","Fiber","Fiber","Fiber","2777752-1",TRUE
"4176","Other / Uncategorized","Other / Uncategorized","Fiber","2777788-1",TRUE
"4185","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2777954-1",TRUE
"4189","Cable / DSL","Cable / DSL","Cable / DSL","2777998-1",TRUE
"4192","Fiber","Fiber","Fiber","2778040-1",TRUE
"4193","Cable / DSL","Cable / DSL","Cable / DSL","2778055-1",TRUE
"4207","Fiber","Fiber","Fiber","2778311-1",TRUE
"4208","Fiber","Fiber","Fiber","2778322-1",TRUE
"4210","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2778412-1",TRUE
"4222","Other / Uncategorized","Other / Uncategorized","Fiber","2778734-1",TRUE
"4234","Fiber","Fiber","Fiber","2779033-1",TRUE
"4239","Fiber","Fiber","Fiber","2779328-1",TRUE
"4249","Fiber","Fiber","Fiber","2779469-1",TRUE
"4251","Fiber","Fiber","Fiber","2779552-1",TRUE
"4253","Cable / DSL","Cable / DSL","Cable / DSL","2779568-1",TRUE
"4265","Cable / DSL","Cable / DSL","Other / Uncategorized","2779899-1",TRUE
"4268","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2779945-1",TRUE
"4290","Fiber","Fiber","Other / Uncategorized","2780301-1",TRUE
"4293","Fiber","Fiber","Fiber","2780322-1",TRUE
"4300","Fiber","Fiber","Fiber","2780469-1",TRUE
"4310","Fixed Wireless","Fixed Wireless","Fixed Wireless","2780730-1",TRUE
"4314","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2780836-1",TRUE
"4315","Fiber","Fiber","Fiber","2780842-1",TRUE
"4319","Fiber","Fiber","Fiber","2780984-1",TRUE
"4321","Fixed Wireless","Fixed Wireless","Fixed Wireless","2781006-1",TRUE
"4326","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2781149-1",TRUE
"4332","Fiber","Fiber","Fiber","2781262-1",TRUE
"4333","Fiber","Fiber","Other / Uncategorized","2781284-1",TRUE
"4343","Fiber","Fiber","Fiber","2781417-2",TRUE
"4349","Fiber","Fiber","Other / Uncategorized","2781546-3",TRUE
"4350","Other / Uncategorized","Other / Uncategorized","Fiber","2781553-1",TRUE
"4351","Fiber","Fiber","Fiber","2781591-4",TRUE
"4352","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2781632-1",TRUE
"4359","Fiber","Fiber","Fiber","2781795-1",TRUE
"4363","Fiber","Fiber","Fiber","2781846-1",TRUE
"4373","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2782175-1",TRUE
"4390","Fiber","Fiber","Cable / DSL","2782592-1",TRUE
"4396","Fiber","Fiber","Fiber","2782690-3",TRUE
"4401","Fiber","Fiber","Other / Uncategorized","2782852-1",TRUE
"4403","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2782905-1",TRUE
"4413","Fiber","Fiber","Fiber","2783121-1",TRUE
"4421","Fiber","Fiber","Other / Uncategorized","2783220-1",TRUE
"4425","Copper","Copper","Copper","2783309-1",TRUE
"4427","Fiber","Fiber","Fiber","2783326-2",TRUE
"4428","Fiber","Fiber","Fiber","2783346-1",TRUE
"4435","Fiber","Fiber","Fiber","2783416-1",TRUE
"4440","Fiber","Fiber","Fiber","2783488-1",TRUE
"4448","Fiber","Fiber","Fiber","2783689-1",TRUE
"4455","Fiber","Fiber","Other / Uncategorized","2783851-1",TRUE
"4456","Fiber","Fiber","Fiber","2783882-1",TRUE
"4460","Fiber","Fiber","Fiber","2783921-1",TRUE
"4463","Fiber","Fiber","Fiber","2783966-1",TRUE
"4472","Fiber","Fiber","Fiber","2784159-1",TRUE
"4476","Fiber","Fiber","Fiber","2784265-1",TRUE
"4477","Fiber","Fiber","Fiber","2784289-1",TRUE
"4490","Fiber","Fiber","Fiber","2784366-1",TRUE
"4493","Fiber","Fiber","Fiber","2784420-1",TRUE
"4496","Fiber","Fiber","Fiber","2784559-1",TRUE
"4498","Cable / DSL","Cable / DSL","Cable / DSL","2784605-1",TRUE
"4509","Copper","Copper","Cable / DSL","2784901-1",TRUE
"4510","Fixed Wireless","Fixed Wireless","Fixed Wireless","2784939-1",TRUE
"4527","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2785370-1",TRUE
"4534","Fiber","Fiber","Fiber","2785711-1",TRUE
"4537","Fiber","Fiber","Other / Uncategorized","2785766-1",TRUE
"4543","Fiber","Fiber","Fiber","2785792-1",TRUE
"4545","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2785827-1",TRUE
"4556","Fiber","Fiber","Fiber","2786051-1",TRUE
"4560","Fiber","Fiber","Other / Uncategorized","2786060-1",TRUE
"4565","Fiber","Fiber","Other / Uncategorized","2786089-1",TRUE
"4566","Fiber","Fiber","Fiber","2786200-1",TRUE
"4567","Fiber","Fiber","Fiber","2786208-1",TRUE
"4570","Fiber","Fiber","Fiber","2786219-2",TRUE
"4571","Fiber","Fiber","Fiber","2786219-3",TRUE
"4586","Fiber","Fiber","Fiber","2786454-1",TRUE
"4587","Fiber","Fiber","Fiber","2786471-1",TRUE
"4593","Fiber","Fiber","Other / Uncategorized","2786640-1",TRUE
"4597","Fiber","Fiber","Fiber","2786684-2",TRUE
"4605","Cable / DSL","Cable / DSL","Cable / DSL","2786741-1",TRUE
"4613","Fiber","Fiber","Other / Uncategorized","2786905-1",TRUE
"4615","Fiber","Fiber","Fiber","2786933-1",TRUE
"4621","Fiber","Fiber","Other / Uncategorized","2787030-1",TRUE
"4635","Fiber","Fiber","Fiber","2787411-1",TRUE
"4640","Fiber","Fiber","Fiber","2787533-1",TRUE
"4644","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2787622-1",TRUE
"4649","Fiber","Fiber","Fiber","2787756-1",TRUE
"4650","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2787761-1",TRUE
"4655","Fiber","Fiber","Fiber","2787890-1",TRUE
"4662","Fixed Wireless","Fixed Wireless","Fixed Wireless","2788287-1",TRUE
"4664","Fiber","Fiber","Fiber","2788422-1",TRUE
"4679","Fiber","Fiber","Fiber","2788782-1",TRUE
"4681","Fiber","Fiber","Fiber","2788798-1",TRUE
"4688","Fiber","Fiber","Fiber","2788916-1",TRUE
"4711","Fiber","Fiber","Other / Uncategorized","2789210-1",TRUE
"4712","Cable / DSL","Fiber","Cable / DSL","2789303-1",FALSE
"4725","Fiber","Fiber","Fiber","2789737-1",TRUE
"4733","Fiber","Fiber","Fiber","2789843-1",TRUE
"4737","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2789974-1",TRUE
"4761","Fiber","Fiber","Fiber","2790365-1",TRUE
"4766","Fiber","Fiber","Other / Uncategorized","2790581-1",TRUE
"4770","Fiber","Fiber","Fiber","2790664-1",TRUE
"4777","Cable / DSL","Cable / DSL","Cable / DSL","2790879-1",TRUE
"4778","Fiber","Fiber","Fiber","2790944-3",TRUE
"4782","Fiber","Fiber","Cable / DSL","2790991-1",TRUE
"4783","Fiber","Fiber","Fiber","2791039-1",TRUE
"4785","Fixed Wireless","Fixed Wireless","Fixed Wireless","2791057-1",TRUE
"4787","Fiber","Fiber","Fiber","2791099-2",TRUE
"4796","Fiber","Fiber","Fiber","2791258-1",TRUE
"4802","Fiber","Fiber","Fiber","2791403-1",TRUE
"4820","Fiber","Fiber","Fiber","2792017-1",TRUE
"4825","Fiber","Fiber","Other / Uncategorized","2792060-3",TRUE
"4827","Fiber","Fiber","Fiber","2792103-2",TRUE
"4831","Fiber","Fiber","Fiber","2792154-1",TRUE
"4834","Fiber","Fiber","Fiber","2792260-1",TRUE
"4838","Fiber","Fiber","Fiber","2792447-1",TRUE
"4840","Fiber","Fiber","Fiber","2792447-3",TRUE
"4846","Cable / DSL","Cable / DSL","Cable / DSL","2792557-1",TRUE
"4848","Fiber","Fiber","Fiber","2792604-1",TRUE
"4849","Fiber","Fiber","Fiber","2792605-1",TRUE
"4852","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2792630-1",TRUE
"4863","Fiber","Fiber","Fiber","2792960-2",TRUE
"4865","Fiber","Fiber","Fiber","2793063-1",TRUE
"4872","Copper","Copper","Copper","2793244-1",TRUE
"4875","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2793269-1",TRUE
"4879","Fiber","Fiber","Fiber","2793278-2",TRUE
"4881","Fiber","Fiber","Fiber","2793280-1",TRUE
"4886","Cable / DSL","Cable / DSL","Fiber","2793360-1",TRUE
"4903","Fiber","Fiber","Fiber","2793950-1",TRUE
"4909","Fiber","Fiber","Other / Uncategorized","2794107-2",TRUE
"4918","Fiber","Fiber","Fiber","2794253-1",TRUE
"4919","Fiber","Fiber","Fiber","2794253-2",TRUE
"4926","Fiber","Fiber","Other / Uncategorized","2794520-1",TRUE
"4927","Other / Uncategorized","Other / Uncategorized","Fiber","2794552-1",TRUE
"4930","Cable / DSL","Cable / DSL","Cable / DSL","2794594-1",TRUE
"4933","Fiber","Fiber","Other / Uncategorized","2794710-1",TRUE
"4943","Fiber","Fiber","Fiber","2794884-1",TRUE
"4945","Fiber","Fiber","Fiber","2794999-1",TRUE
"4954","Fiber","Fiber","Fiber","2795127-1",TRUE
"4976","Fiber","Fiber","Fiber","2795398-1",TRUE
"4985","Fiber","Fiber","Fiber","2795552-1",TRUE
"4990","Fiber","Fiber","Other / Uncategorized","2795668-1",TRUE
"4994","Fiber","Fiber","Fiber","2795735-1",TRUE
"5004","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2796041-1",TRUE
"5015","Fiber","Fiber","Fiber","2796331-1",TRUE
"5020","Copper","Copper","Copper","2796469-4",TRUE
"5024","Fiber","Fiber","Fiber","2796532-1",TRUE
"5038","Fiber","Fiber","Fiber","2796745-1",TRUE
"5041","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2796772-1",TRUE
"5051","Fiber","Fiber","Fiber","2797174-1",TRUE
"5053","Fiber","Fiber","Fiber","2797183-1",TRUE
"5056","Cable / DSL","Cable / DSL","Cable / DSL","2797201-2",TRUE
"5057","Fiber","Fiber","Fiber","2797222-2",TRUE
"5058","Fiber","Fiber","Fiber","2797230-1",TRUE
"5059","Fiber","Fiber","Fiber","2797259-1",TRUE
"5060","Fiber","Fiber","Fiber","2797259-10",TRUE
"5062","Fiber","Fiber","Fiber","2797259-12",TRUE
"5075","Fiber","Fiber","Fiber","2797304-1",TRUE
"5089","Copper","Copper","Copper","2797664-2",TRUE
"5090","Fiber","Fiber","Fiber","2797698-1",TRUE
"5092","Fiber","Fiber","Fiber","2797844-1",TRUE
"5106","Fiber","Fiber","Other / Uncategorized","2798274-1",TRUE
"5108","Fiber","Fiber","Fiber","2798305-1",TRUE
"5109","Fiber","Fiber","Other / Uncategorized","2798308-1",TRUE
"5112","Other / Uncategorized","Fiber","Other / Uncategorized","2798314-2",FALSE
"5115","Fiber","Fiber","Fiber","2798367-1",TRUE
"5118","Fiber","Fiber","Fiber","2798446-1",TRUE
"5125","Fiber","Fiber","Fiber","2798641-1",TRUE
"5132","Fixed Wireless","Fixed Wireless","Fiber","2798837-1",TRUE
"5133","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2798837-10",TRUE
"5135","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2798837-12",TRUE
"5137","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2798837-14",TRUE
"5141","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2798837-18",TRUE
"5166","Fiber","Fiber","Fiber","2799079-1",TRUE
"5171","Copper","Copper","Other / Uncategorized","2799443-1",TRUE
"5173","Fiber","Fiber","Fiber","2799476-2",TRUE
"5181","Fiber","Fiber","Fiber","2799745-1",TRUE
"5182","Other / Uncategorized","Other / Uncategorized","Fiber","2799745-2",TRUE
"5184","Other / Uncategorized","Other / Uncategorized","Fiber","2799745-4",TRUE
"5187","Fiber","Fiber","Other / Uncategorized","2799910-1",TRUE
"5211","Fiber","Fiber","Fiber","2800583-3",TRUE
"5216","Fiber","Fiber","Fiber","2800675-2",TRUE
"5224","Fiber","Fiber","Other / Uncategorized","2800740-3",TRUE
"5228","Fiber","Fiber","Fiber","2800811-1",TRUE
"5229","Fiber","Fiber","Other / Uncategorized","2800846-1",TRUE
"5262","Fixed Wireless","Fixed Wireless","Fiber","2801706-1",TRUE
"5274","Cable / DSL","Cable / DSL","Other / Uncategorized","2802111-1",TRUE
"5282","Fiber","Fiber","Fiber","2802333-1",TRUE
"5299","Copper","Copper","Copper","2803038-1",TRUE
"5314","Fiber","Fiber","Fiber","2803313-2",TRUE
"5325","Fiber","Fiber","Fiber","2803718-1",TRUE
"5328","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2803724-1",TRUE
"5331","Fiber","Fiber","Fiber","2803775-1",TRUE
"5332","Fiber","Fiber","Fiber","2803777-1",TRUE
"5341","Fiber","Fiber","Fiber","2803904-1",TRUE
"5361","Fiber","Fiber","Fiber","2804184-1",TRUE
"5363","Fixed Wireless","Fixed Wireless","Fixed Wireless","2804192-1",TRUE
"5367","Other / Uncategorized","Other / Uncategorized","Fiber","2804333-1",TRUE
"5372","Other / Uncategorized","Other / Uncategorized","Fiber","2804563-1",TRUE
"5389","Fiber","Fiber","Fiber","2804924-1",TRUE
"5390","Fiber","Fiber","Fiber","2804927-1",TRUE
"5419","Fiber","Fiber","Fiber","2805936-1",TRUE
"5434","Fiber","Fiber","Other / Uncategorized","2806508-1",TRUE
"5437","Fiber","Fiber","Fiber","2806600-4",TRUE
"5439","Fiber","Fiber","Fiber","2806622-1",TRUE
"5449","Cable / DSL","Cable / DSL","Cable / DSL","2806735-1",TRUE
"5450","Fiber","Fiber","Fiber","2806748-2",TRUE
"5454","Fiber","Fiber","Fiber","2806789-1",TRUE
"5461","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2806947-1",TRUE
"5470","Fixed Wireless","Fixed Wireless","Fixed Wireless","2807250-1",TRUE
"5475","Fiber","Fiber","Fiber","2807373-1",TRUE
"5478","Fiber","Fiber","Fiber","2807412-1",TRUE
"5488","Fiber","Fiber","Other / Uncategorized","2807874-3",TRUE
"5504","Fiber","Fiber","Fiber","2808229-1",TRUE
"5507","Other / Uncategorized","Other / Uncategorized","Fiber","2808390-1",TRUE
"5509","Fiber","Fiber","Other / Uncategorized","2808410-5",TRUE
"5514","Fiber","Fiber","Fiber","2808441-2",TRUE
"5522","Fiber","Fiber","Fiber","2808587-1",TRUE
"5524","Fiber","Fiber","Fiber","2808587-3",TRUE
"5528","Fiber","Fiber","Fiber","2808607-3",TRUE
"5533","Fiber","Fiber","Fiber","2808714-1",TRUE
"5538","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2808893-1",TRUE
"5540","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2809017-1",TRUE
"5541","Fiber","Fiber","Other / Uncategorized","2809067-4",TRUE
"5543","Fiber","Fiber","Fiber","2809131-1",TRUE
"5560","Fiber","Fiber","Fiber","2809234-1",TRUE
"5616","Fiber","Fiber","Fiber","2809837-1",TRUE
"5651","Fiber","Fiber","Fiber","2810148-1",TRUE
"5654","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2810193-1",TRUE
"5655","Fiber","Fiber","Fiber","2810205-1",TRUE
"5679","Cable / DSL","Cable / DSL","Cable / DSL","2810482-1",TRUE
"5775","Fiber","Fiber","Fiber","2810677-1",TRUE
"5782","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2810753-1",TRUE
"5784","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2810775-2",TRUE
"5796","Fiber","Fiber","Fiber","2810987-1",TRUE
"5804","Fiber","Fiber","Fiber","2811075-1",TRUE
"5809","Fiber","Fiber","Fiber","2811109-1",TRUE
"5812","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2811140-1",TRUE
"5813","Fiber","Fiber","Fiber","2811176-1",TRUE
"5818","Cable / DSL","Cable / DSL","Cable / DSL","2811376-1",TRUE
"5832","Fiber","Fiber","Fiber","2811675-1",TRUE
"5899","Fiber","Fiber","Fiber","2812207-1",TRUE
"5905","Fiber","Fiber","Other / Uncategorized","2812289-1",TRUE
"5906","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2812327-1",TRUE
"5913","Fiber","Fiber","Other / Uncategorized","2812454-1",TRUE
"5917","Fiber","Fiber","Fiber","2812561-1",TRUE
"5965","Fiber","Fiber","Fiber","2812694-1",TRUE
"5966","Fiber","Fiber","Fiber","2812726-1",TRUE
"5968","Cable / DSL","Cable / DSL","Cable / DSL","2812840-1",TRUE
"5977","Fiber","Cable / DSL","Other / Uncategorized","2812998-1",FALSE
"5978","Fiber","Fiber","Other / Uncategorized","2813042-1",TRUE
"5988","Fiber","Fiber","Fiber","2813255-1",TRUE
"5994","Fiber","Fiber","Fiber","2813287-1",TRUE
"5996","Copper","Copper","Copper","2813302-1",TRUE
"6003","Fiber","Fiber","Fiber","2813491-1",TRUE
"6007","Fiber","Fiber","Fiber","2813712-1",TRUE
"6022","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2813960-1",TRUE
"6023","Fiber","Fiber","Fiber","2813964-2",TRUE
"6026","Fiber","Fiber","Cable / DSL","2814006-1",TRUE
"6028","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2814094-1",TRUE
"6032","Copper","Copper","Copper","2814163-1",TRUE
"6033","Fiber","Fiber","Fiber","2814176-1",TRUE
"6035","Fiber","Fiber","Other / Uncategorized","2814239-1",TRUE
"6040","Fiber","Fiber","Fiber","2814258-1",TRUE
"6045","Fiber","Fiber","Fiber","2814499-1",TRUE
"6054","Fiber","Fiber","Fiber","2814624-1",TRUE
"6064","Fiber","Fiber","Fiber","2814776-1",TRUE
"6073","Fiber","Fiber","Other / Uncategorized","2814912-1",TRUE
"6075","Fiber","Fiber","Other / Uncategorized","2814912-3",TRUE
"6078","Copper","Copper","Other / Uncategorized","2814997-1",TRUE
"6079","Fiber","Fiber","Fiber","2814997-2",TRUE
"6092","Other / Uncategorized","Fiber","Other / Uncategorized","2815194-2",FALSE
"6093","Fiber","Fiber","Other / Uncategorized","2815194-3",TRUE
"6097","Fiber","Fiber","Fiber","2815194-7",TRUE
"6102","Fiber","Fiber","Fiber","2815384-1",TRUE
"6107","Copper","Copper","Other / Uncategorized","2815487-1",TRUE
"6109","Fiber","Fiber","Fiber","2815501-1",TRUE
"6128","Fiber","Fiber","Fiber","2815869-1",TRUE
"6136","Fixed Wireless","Fixed Wireless","Fixed Wireless","2816098-1",TRUE
"6142","Fiber","Fiber","Other / Uncategorized","2816288-2",TRUE
"6145","Fiber","Fiber","Fiber","2816296-1",TRUE
"6169","Fiber","Fiber","Other / Uncategorized","2816680-1",TRUE
"6174","Fiber","Fiber","Fiber","2816756-1",TRUE
"6177","Other / Uncategorized","Other / Uncategorized","Fiber","2816814-1",TRUE
"6178","Fiber","Fiber","Fiber","2816820-1",TRUE
"6184","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2816898-1",TRUE
"6190","Fiber","Fiber","Fiber","2817018-1",TRUE
"6197","Fixed Wireless","Fixed Wireless","Fixed Wireless","2817185-1",TRUE
"6230","Fiber","Fiber","Fiber","2817858-1",TRUE
"6232","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2817909-1",TRUE
"6233","Fiber","Fiber","Fiber","2817961-1",TRUE
"6234","Fiber","Fiber","Fiber","2817961-2",TRUE
"6244","Fiber","Fiber","Fiber","2818202-1",TRUE
"6251","Fiber","Fiber","Fiber","2818282-1",TRUE
"6257","Copper","Copper","Copper","2818395-1",TRUE
"6261","Fiber","Fiber","Fiber","2818439-1",TRUE
"6264","Fiber","Other / Uncategorized","Other / Uncategorized","2818449-1",FALSE
"6272","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2818736-1",TRUE
"6278","Fiber","Fiber","Fiber","2818973-1",TRUE
"6285","Fiber","Fiber","Fiber","2819187-1",TRUE
"6291","Copper","Copper","Copper","2819267-1",TRUE
"6292","Fiber","Fiber","Fiber","2819276-1",TRUE
"6297","Cable / DSL","Cable / DSL","Other / Uncategorized","2819277-4",TRUE
"6298","Fiber","Fiber","Fiber","2819277-5",TRUE
"6301","Cable / DSL","Cable / DSL","Other / Uncategorized","2819277-8",TRUE
"6303","Copper","Copper","Other / Uncategorized","2819380-1",TRUE
"6305","Fiber","Fiber","Fiber","2819388-1",TRUE
